"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.47424","97.82293","","94.60751","92.74784","92.99585","96.56223","","","","97.70515","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","8.47242","","","","","","","","","","","","","","","","","","","13.69764","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","43.48325","40.20312","","","","","","","","","","","","","","","41.96925","","","","","","","","","","70.36089","69.2545","68.62343","67.27698","","","","","","","","","","","","","",
"Albania","ALB","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.98725","95.3679","94.45652","","92.23154","91.97377","","","","87.34731","85.71818","86.81675","88.24009","90.952","93.70449","","","","","","","","","","","",
"Andorra","AND","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","44.66827","44.61006","45.90615","47.05359","47.55197","49.33274","50.87216","51.94379","52.87928","55.2264","56.78126","57.52132","58.28564","59.25484","60.59346","61.37404","62.64116","64.07296","65.22261","65.35466","66.16068","67.12508","63.49232","64.21807","67.38675","66.00638","69.13606","69.51657","","71.25089","72.17208","73.59948","74.82221","75.51832","76.23106","76.7082","77.17461","78.62129","79.69968","79.89748","81.34995","81.39816","","81.617","81.5384","","81.91049","81.75467","82.10073","","","","","","",
"United Arab Emirates","ARE","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","79.78934","","76.6383","73.43204","77.97162","72.52615","72.22917","72.0427","73.15823","83.3039","86.14692","90.82089","95.10462","95.87303","91.93585","90.13375","88.54075","88.80909","86.10874","82.49258","79.67314","","","","","","","","","87.06437","","","","","87.45417","86.84334","","","","","","","","","","","",
"Argentina","ARG","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","96.12037","","","","96.32869","96.09376","","","","","","","","","","","","","","","","96.00714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.03821","83.04899","","82.18023","84.90701","89.24942","","","","95.76167","96.88121","95.29451","94.17595","93.29142","92.50096","91.91511","90.5458","","","","","","",
"American Samoa","ASM","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.49916","","92.12914","94.0308","","94.76904","","","","","","","",
